cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other
2020,President,polls-plus,8/17/2020,Trump,Biden,,ME-2,0.00295,1.169255,0.6377,0.3623,,51.07129,47.22273,,1.705984
2020,President,polls-plus,8/17/2020,Trump,Biden,,ME-1,0.0002875,0.1041398,0.056375,0.943625,,39.75226,58.88269,,1.365049
2020,President,polls-plus,8/17/2020,Trump,Biden,,Louisiana,0.0017375,0.122795,0.9227,0.0773,,57.65006,41.56202,,0.7879241
2020,President,polls-plus,8/17/2020,Trump,Biden,,Kentucky,0.0003,0.021438,0.975375,0.024625,,59.46487,39.36649,,1.168634
2020,President,polls-plus,8/17/2020,Trump,Biden,,Kansas,0.0001125,0.0125329,0.926975,0.073025,,55.39495,42.76899,,1.836056
2020,President,polls-plus,8/17/2020,Trump,Biden,,Iowa,0.002775,0.2507929,0.686025,0.313975,,51.42629,47.22229,,1.351416
2020,President,polls-plus,8/17/2020,Trump,Biden,,Indiana,0,0,0.947475,0.052525,,56.26993,42.3754,,1.354673
2020,President,polls-plus,8/17/2020,Trump,Biden,,Illinois,0.0006375,0.0159784,0.006375,0.993625,,38.8239,59.70104,,1.475056
2020,President,polls-plus,8/17/2020,Trump,Biden,,Idaho,0.0000625,0.0119101,0.9938,0.0062,,62.84664,34.17117,,2.982193
2020,President,polls-plus,8/17/2020,Trump,Biden,,Georgia,0.013275,0.4376546,0.67155,0.32845,,51.13607,48.03728,,0.826643
2020,President,polls-plus,8/17/2020,Trump,Biden,,Florida,0.219875,3.072379,0.3485,0.6515,,48.0638,51.16668,,0.7695214
2020,President,polls-plus,8/17/2020,Trump,Biden,,District of Columbia,0,0,0,1,,5.676956,90.90527,,3.417767
2020,President,polls-plus,8/17/2020,Trump,Biden,,Delaware,0.000025,0.0072375,0.002175,0.997825,,37.84999,61.03032,,1.119687
2020,President,polls-plus,8/17/2020,Trump,Biden,,Connecticut,0.000825,0.0727869,0.019925,0.980075,,40.12884,58.96238,,0.908781
2020,President,polls-plus,8/17/2020,Trump,Biden,,Colorado,0.02165,1.052211,0.14145,0.85855,,44.39558,53.80315,,1.801265
2020,President,polls-plus,8/17/2020,Trump,Biden,,California,0.0016125,0.0161317,0.00255,0.99745,,33.87077,64.21972,,1.909507
2020,President,polls-plus,8/17/2020,Trump,Biden,,Arkansas,0.0003625,0.0459752,0.931225,0.068775,,56.67319,41.74,,1.586812
2020,President,polls-plus,8/17/2020,Trump,Biden,,Arizona,0.0487625,2.471527,0.439775,0.560225,,48.68647,50.0355,,1.278031
2020,President,polls-plus,8/17/2020,Trump,Biden,,Alabama,0.0001875,0.0129832,0.9796,0.0204,,59.99119,39.2352,,0.773616
